"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"FAM63A";5,18245873094362e-05;6,36440573800027e-05;5,36465672691411e-05
"BNIPL";5,23704881406708e-05;4,68029718617611e-05;4,76327981897084e-05
"GABPB2";5,23074152461631e-05;3,09795694035871e-05;4,19820992712664e-05
"SEMA6C";2,24125000058207e-06;2,10349563464005e-07;2,79516356085394e-07
"SCNM1";2,97184788292104e-09;1,93207857176358e-09;2,79406810750953e-09
"SELENBP1";9,93951688224053e-07;4,98599072143816e-07;9,2624959496444e-09
"PSMB4";1,772409997173e-06;7,61740383825721e-07;1,29399530829361e-06
"CGN";1,04835277777715e-08;4,44460101252186e-08;1,39365842580159e-08
"RORC";0;0;5,62876237886666e-12
"THEM5";4,69082506598406e-08;1,52624168805016e-08;3,57191028937392e-09
"TCHHL1";4,08096548831327e-08;3,68208479514409e-08;3,43791983241606e-08
"TCHH";3,39279417182692e-08;1,68399679829845e-09;1,27250008502601e-07
"RPTN";1,23886591556488e-10;7,46126925942336e-10;1,64610135413266e-13
"SPRR2F";2,22615660004361e-05;1,79093606394781e-05;1,03791035035079e-05
"SPRR2G";4,53136937567124e-05;4,92657436742701e-05;4,38441397960334e-05
"S100A9";1,54814743629002e-05;2,59253623521737e-05;1,93903797650505e-05
"S100A7L2";6,95614572332914e-09;1,27380530323684e-10;5,32745332618882e-11
"INTS3";2,0198440307256e-05;1,9059020041766e-05;7,66601104659708e-06
"SLC27A3";2,5268112010155e-08;1,32236188704148e-07;1,98019139928342e-09
"TPM3";3,91724368205159e-05;3,73412952167045e-05;2,82616073655315e-05
"C1orf189";0;2,7704236094106e-12;1,83661502485104e-11
"HAX1";3,49323665065961e-05;2,72736121818724e-05;2,45989098121005e-05
"SHE";0;1,37370105959256e-08;2,20779425047425e-07
"KCNN3";2,17721751586408e-10;2,21600515715181e-18;3,6367385598964e-16
"TRIM46";5,35398770447247e-06;1,24519485462655e-05;9,9865173155971e-06
"MTX1";1,8291443914705e-05;7,69760203604937e-06;8,00046319684037e-06
"RUSC1";1,10154716247542e-05;1,47485666100865e-05;1,40869444967868e-05
"LMNA";7,0467909558995e-05;6,30480451268872e-05;6,52163542469532e-05
